candidate_id,location,length_m,current_lts,modeled_demand,preliminary_benefit,selection_reason,physical_id,node_a,node_b,osmid,latitude,longitude,connects_safe_components,screening_rank,street_name,underlying_lts_values,mixed_lts,directed_edge_count,demand_child,demand_low_confidence_adult,demand_typical_adult,demand_experienced_adult,benefit_child,benefit_low_confidence_adult,benefit_typical_adult,benefit_experienced_adult,safe_component_a,safe_component_b
C011,"42.35018, -71.11089",34.424362174012714,4.0,334.75,51326.72400145295,high demand-weighted stress penalty,"12854418282|7623711777|[43100841, 1388647115]",12854418282,7623711777,"[43100841, 1388647115]",42.350175899999996,-71.11089129999999,False,11,,4,False,1,478.0,498.0,359.0,4.0,82274.22559589038,85716.66181329166,37075.038061411695,240.97053521808897,,0.0
C012,Congress Street,95.93457519084613,3.0,351.0,48710.78055315213,high demand-weighted stress penalty,61424476|7634061895|485269334,61424476,7634061895,485269334,42.355250299999994,-71.0552863,False,12,Congress Street,3,False,1,361.0,357.0,360.0,326.0,69264.7632877909,68497.28668626414,41443.73648244554,15637.335756107921,,
C013,Court Street,64.68512017791619,3.0,510.5,48533.24566949051,high demand-weighted stress penalty,61340487|7629652918|8646962,61340487,7629652918,8646962,42.3589126,-71.05820875,False,13,Court Street,3,False,1,560.0,524.0,506.0,452.0,72447.33459926613,67790.00594645616,39276.80497203072,14618.83716020906,11.0,
C014,Pond Street,72.43599709093004,3.0,416.5,47230.08100321368,high demand-weighted stress penalty,61339246|61468439|8644414,61339246,61468439,8644414,42.3189948,-71.05896200000001,False,14,Pond Street,3,False,1,476.0,517.0,408.0,265.0,68959.06923056542,74898.82099202168,35464.664175719365,9597.769614548235,,0.0
C015,Park Street,122.76705587320492,3.0,246.5,46485.74570638904,high demand-weighted stress penalty,1830597849|61365612|63104587,1830597849,61365612,63104587,42.35703865,-71.0625406,False,15,Park Street,3,False,2,261.0,267.0,328.0,130.0,64084.40316581297,65557.60783629143,48321.11319169346,7979.8586317583195,,1187.0
C016,East Berkeley Street,82.62945930759204,3.0,283.5,30942.666774210527,directly bridges distinct LTS 1-2 components,61342529|61342948|8646152,61342529,61342948,8646152,42.344831600000006,-71.06851715,True,41,East Berkeley Street,3,False,1,251.0,245.0,267.0,371.0,41479.9885724112,40488.4350607201,26474.47876215249,15327.764701558324,1128.0,270.0
C017,Fenway,117.30656068367475,3.0,183.0,30356.00524091793,directly bridges distinct LTS 1-2 components,10173043944|12133563916|494808064,10173043944,12133563916,494808064,42.3421612,-71.10265609999999,True,44,Fenway,3,False,1,182.0,181.0,178.0,191.0,42699.58808885761,42464.974967490256,25056.681362032927,11202.776545290939,29.0,0.0
C018,Columbus Avenue,34.323275503111745,3.0,574.25,29607.257448984194,directly bridges distinct LTS 1-2 components,13831785992|3058394493|8648996,13831785992,3058394493,8648996,42.33544165,-71.0887589,True,48,Columbus Avenue,3,False,1,593.0,670.0,582.0,452.0,40707.40474669053,45993.18917416974,23971.37561137325,7757.060263703254,0.0,850.0
C019,Columbus Avenue,37.166108969472845,3.0,495.5,28579.808644800378,directly bridges distinct LTS 1-2 components,3058394485|61547115|8649059,3058394485,61547115,8649059,42.335564399999996,-71.0885516,True,50,Columbus Avenue,3,False,1,536.0,615.0,512.0,319.0,39842.068815274884,45714.31403245159,22834.85735084412,5927.994380630918,850.0,0.0
C020,Cambridge Street,30.8272261785361,3.0,547.0,24214.786163240115,directly bridges distinct LTS 1-2 components,10168434999|61585171|8652409,10168434999,61585171,8652409,42.36126635,-71.064571,True,75,Cambridge Street,3,False,1,555.0,542.0,575.0,516.0,34218.221058175084,33416.71317753314,21270.786063189913,7953.424354062319,1621.0,1297.0
